name,nametype,class,mass (g),discovery,year
Acfer 080,Valid,L3.9,574.0,Found,1990.0
Acfer 083,Valid,L6,690.0,Found,1990.0
Acfer 088,Valid,L6,200.0,Found,1990.0
Acfer 093,Valid,L5,420.0,Found,1990.0
Acfer 096,Valid,L4-5,572.0,Found,1990.0
Acfer 101,Valid,L6,452.0,Found,1990.0
Acfer 102,Valid,L3-5,346.0,Found,1990.0
Acfer 105,Valid,L6,392.0,Found,1990.0
Acfer 107,Valid,L6,105.0,Found,1990.0
Acfer 110,Valid,L6,107.0,Found,1990.0
Acfer 116,Valid,L6,345.0,Found,1990.0
Acfer 118,Valid,L6,752.0,Found,1990.0
Acfer 121,Valid,L5-6,427.0,Found,1990.0
Acfer 122,Valid,L4/5,235.0,Found,1990.0
Acfer 125,Valid,L6,3380.0,Found,1990.0
Acfer 127,Valid,L6,699.0,Found,1990.0
Acfer 128,Valid,L6,163.0,Found,1990.0
Acfer 133,Valid,L3-5,362.0,Found,1990.0
Acfer 134,Valid,L5,1161.0,Found,1990.0
Acfer 138,Valid,L5,941.0,Found,1990.0
Acfer 140,Valid,L5,171.0,Found,1990.0
Acfer 142,Valid,L5,91.0,Found,1990.0
Acfer 143,Valid,L6,417.0,Found,1990.0
Acfer 144,Valid,L6,186.0,Found,1990.0
Acfer 145,Valid,L6,869.0,Found,1990.0
Acfer 147,Valid,L6,140.0,Found,1990.0
Acfer 155,Valid,L6,206.0,Found,1990.0
Acfer 156,Valid,L6,240.0,Found,1990.0
Acfer 157,Valid,L6,1072.0,Found,1990.0
Acfer 167,Valid,L5,157.0,Found,1990.0
Acfer 168,Valid,L6,211.0,Found,1990.0
Acfer 172,Valid,L6,766.0,Found,1990.0
Acfer 179,Valid,L6,163.0,Found,1990.0
Acfer 181,Valid,L6,245.0,Found,1990.0
Acfer 190,Valid,L6,4439.0,Found,1990.0
Acfer 191,Valid,L6,188.0,Found,1990.0
Acfer 197,Valid,L6,115.0,Found,1991.0
Acfer 199,Valid,L4,215.0,Found,1991.0
Acfer 201,Valid,L5,55.0,Found,1991.0
Acfer 213,Valid,L6,526.0,Found,1991.0
Acfer 215,Valid,L5,107.0,Found,1991.0
Acfer 216,Valid,L6,293.0,Found,1991.0
Acfer 218,Valid,L6,114.0,Found,1991.0
Acfer 228,Valid,L5,2285.0,Found,1991.0
Acfer 240,Valid,L6,342.0,Found,1991.0
Acfer 241,Valid,L6,86.0,Found,1991.0
Acfer 242,Valid,L6,318.0,Found,1991.0
Acfer 246,Valid,L6,923.0,Found,1991.0
Acfer 247,Valid,L4,60.0,Found,1991.0
Acfer 248,Valid,L3.9/4,402.0,Found,1991.0
Acfer 252,Valid,L6,146.0,Found,1991.0
Acfer 254,Valid,L6,99.0,Found,1991.0
Acfer 255,Valid,L6,124.0,Found,1991.0
Acfer 261,Valid,L6,73.0,Found,1991.0
Acfer 263,Valid,L6,438.0,Found,1991.0
Acfer 266,Valid,L6,518.0,Found,1991.0
Acfer 280,Valid,L6,177.0,Found,1991.0
Acfer 281,Valid,L5,165.0,Found,1991.0
Acfer 288,Valid,L5,55.0,Found,1992.0
Acfer 290,Valid,L6,213.0,Found,1992.0
Acfer 297,Valid,L6,43.0,Found,1992.0
Acfer 298,Valid,L6,2000.0,Found,1992.0
Acfer 305,Valid,L6,369.0,Found,1992.0
Acfer 306,Valid,L6,129.0,Found,1992.0
Acfer 307,Valid,L5,520.0,Found,1992.0
Acfer 309,Valid,L6,185.0,Found,1992.0
Acfer 312,Valid,L5,364.0,Found,1992.0
Acfer 319,Valid,L6,2393.0,Found,1992.0
Acfer 322,Valid,L5,25.0,Found,2001.0
Acfer 326,Valid,L6,139.0,Found,1989.0
Acfer 329,Valid,L4/5,30000.0,Found,2001.0
Acfer 330,Valid,L6,490.0,Found,2001.0
Acfer 334,Valid,L6,211.25,Found,2002.0
Acfer 336,Valid,L3.8,19400.0,Found,2002.0
Acfer 337,Valid,L3.8,360.0,Found,2002.0
Acfer 340,Valid,L5,173.15,Found,2002.0
Acfer 341,Valid,L3,132.0,Found,2002.0
Acfer 342,Valid,L6,1276.0,Found,2002.0
Acfer 347,Valid,L3,1165.0,Found,2001.0
Acfer 348,Valid,L5,8750.0,Found,2001.0
Acfer 351,Valid,L6,211.0,Found,2001.0
Acfer 352,Valid,L5,873.0,Found,2001.0
Acfer 365,Valid,L5,1456.0,Found,2002.0
Acfer 371,Valid,L5,9608.0,Found,2002.0
Acfer 377,Valid,L4,132.0,Found,2002.0
Acfer 381,Valid,L6,292.0,Found,2002.0
Acfer 386,Valid,L5,200.0,Found,2004.0
Acfer 401,Valid,L5,9.0,Found,2002.0
Ackerly,Valid,L5,3046.0,Found,1995.0
